"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,3,2,7,1,26829,925171977,26830,92188951,26829,924874722,26830,92261312
256,500,375,-2,"0.6",-1,1,3,2,7,2,26829,925177918,26829,925178013,26829,924874722,26830,92261312
256,500,375,-2,"0.6",-1,1,3,2,7,3,26829,925093452,26829,925093572,26829,924874722,26830,92261312
256,500,375,-2,"0.6",-1,1,3,2,8,1,26830,176187424,26830,343307997,26830,175893577,26830,343384171
256,500,375,-2,"0.6",-1,1,3,2,8,2,26830,176177281,26830,176177401,26830,175893577,26830,343384171
256,500,375,-2,"0.6",-1,1,3,2,8,3,26830,176136207,26830,176136324,26830,175893577,26830,343384171
256,500,375,-2,"0.6",-1,1,3,2,9,1,26830,430754255,26830,597742274,26830,430594700,26830,597822814
256,500,375,-2,"0.6",-1,1,3,2,9,2,26830,430723639,26830,430723756,26830,430594700,26830,597822814
256,500,375,-2,"0.6",-1,1,3,2,9,3,26830,430793850,26830,430793963,26830,430594700,26830,597822814
256,500,375,-2,"0.6",-1,1,3,2,10,1,26830,680773590,26830,850088795,26830,680512138,26830,850163791
256,500,375,-2,"0.6",-1,1,3,2,10,2,26830,680802156,26830,680802260,26830,680512138,26830,850163791
256,500,375,-2,"0.6",-1,1,3,2,10,3,26830,680805858,26830,680805954,26830,680512138,26830,850163791
256,500,375,-2,"0.6",-1,1,4,0,1,1,26830,954343773,26830,973336148,26830,953945359,26831,20890029
256,500,375,-2,"0.6",-1,1,4,0,1,2,26830,954337942,26831,19174928,26830,953945359,26831,20890029
256,500,375,-2,"0.6",-1,1,4,0,1,3,26830,954244739,26831,20813629,26830,953945359,26831,20890029
256,500,375,-2,"0.6",-1,1,4,0,1,4,26830,954305884,26830,975167590,26830,953945359,26831,20890029
